iclaimsNSA,michigan.unemployment,idaho.unemployment,pennsylvania.unemployment,unemployment.filing,new.jersey.unemployment,department.of.unemployment,illinois.unemployment,rhode.island.unemployment,unemployment.office,filing.unemployment
2.536,1.488,-0.561,1.773,0.909,2.021,1.64,0.3,1.75,0.498,0.073
0.882,1.1,-0.992,0.9,0.148,1.28,1.014,0.18,-0.011,0.264,0.584
-0.077,1.155,-1.212,1.477,0.21,1.08,1.009,0.119,-0.028,0.031,0.448
0.135,0.53,-1.034,1.244,-0.308,1.067,0.734,0.727,-0.23,-0.143,-0.269
0.373,0.698,-1.195,0.643,0.57,1.125,0.502,0.598,0.625,-0.219,-1.006
-0.437,0.441,-1.386,0.049,-0.182,0.615,-0.226,-0.199,-0.401,-0.526,-1.124
-0.556,0.405,-0.844,0.198,-0.553,0.784,-0.518,-0.245,-0.976,-0.699,-0.504
-0.432,-0.016,-1.001,-0.401,-0.339,-0.163,-0.55,-0.871,-1.236,-0.884,-1.254
-0.46,0.271,-1.234,0.252,-0.666,0.321,-0.558,-0.359,-0.555,-0.778,-2.114
-0.698,-0.357,-1.269,-1.189,-1.911,-0.645,-1.468,-1.116,0.156,-1.182,-2.958
-0.765,-0.006,-1.326,0.242,0.175,-0.185,-0.912,-0.276,0.158,-0.917,-0.939
-0.833,-0.647,-2.124,-0.71,-0.14,-1.235,-1.924,-0.978,-0.572,-1.158,-1.758
-0.767,-0.282,-1.615,-0.489,-0.556,0.879,-0.593,-0.444,-1.992,-0.898,-0.831
-0.356,-0.503,-1.035,-0.201,-0.367,-0.34,-0.331,-0.397,-0.897,-0.844,-0.425
-0.496,-0.998,-1.356,-0.717,-0.514,-0.806,-1.27,-0.669,-0.338,-1.145,-1.21
-0.684,-0.618,-1.06,-0.012,-0.93,-0.093,-1.162,-0.805,-0.373,-1.04,-0.868
-0.953,-0.547,-1.437,0.007,-0.302,0.221,-1.277,-0.504,-0.512,-0.898,-1.441
-0.869,-0.403,-1.36,-0.386,-0.129,0.001,-1.214,-0.636,0.065,-1.069,-0.929
-0.831,-0.691,-1.553,-0.002,-0.348,-0.775,-0.428,-0.626,-0.489,-0.858,-1.033
-0.858,-0.793,-1.302,-0.401,-0.565,0.159,-0.657,-0.855,-0.629,-0.983,-0.942
